System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.975	0.951	0.963				39	1	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.907	0.951	0.929				39	4	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.9	0.9	0.9				9	1	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.818	0.9	0.857				9	2	1
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.804	0.841	0.822				127	31	24
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.733	0.928	0.819				77	28	6
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.74	0.902	0.813				37	13	4
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.754	0.848	0.798				295	96	53
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.791	0.801	0.796				121	32	30
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.745	0.822	0.781				286	98	62
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.667	0.892	0.763				74	37	9
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.678	0.851	0.755				40	19	7
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.75	0.75	0.75				3	1	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.706	0.766	0.735				36	15	11
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.688	0.775	0.729				117	53	34
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.59	0.831	0.69				69	48	14
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.6	0.744	0.664				259	173	89
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.583	0.7	0.636				7	5	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.5	0.5	0.5				2	2	2
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.408	0.617	0.492				29	42	18
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.25	0.25	0.25				1	3	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	3	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	4	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	6	3
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	3	4
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	7	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_en_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle1_ajmc_en_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle1_ajmc_en_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
