System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.776	0.84	0.807	963	278	184
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.749	0.824	0.785	945	316	202
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.754	0.814	0.783	934	305	213
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.659	0.759	0.706	871	451	276
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.738	0.425	0.539	31	11	42
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.781	0.342	0.476	25	7	48
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.618	0.288	0.393	21	13	52
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0.0	0	0	0	73
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.87	0.919	0.894	147	22	13
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.858	0.906	0.881	145	24	15
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.825	0.912	0.866	146	31	14
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.818	0.869	0.842	139	31	21
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	1.0	0.5	0.667	2	0	2
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.333	0.25	0.286	1	2	3
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0	0.0	0	0	0	4
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.64	0.679	0.659	57	32	27
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.584	0.619	0.601	52	37	32
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.556	0.536	0.545	45	36	39
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.376	0.417	0.395	35	58	49
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0	0.0	0	0	0	4
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	2	4
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	1	4
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	3	4
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.762	0.762	0.762	16	5	5
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.727	0.762	0.744	16	6	5
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.75	0.714	0.732	15	5	6
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.524	0.524	0.524	11	10	10
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0	0.0	0	0	0	1
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.85	0.907	0.878	233	41	24
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.818	0.911	0.862	234	52	23
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.803	0.903	0.85	232	57	25
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.806	0.891	0.847	229	55	28
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.862	0.556	0.676	25	4	20
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.909	0.444	0.597	20	2	25
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.81	0.378	0.515	17	4	28
