System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	1.0	1.0				2	0	0
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	1.0	1.0	1.0				2	0	0
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.958	0.908	0.932				69	3	7
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.944	0.882	0.912				67	4	9
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.898	0.917	0.907				44	5	4
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.899	0.915	0.907				161	18	15
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.915	0.898	0.906				343	32	39
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.867	0.926	0.896				163	25	13
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.895	0.895	0.895				68	8	8
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.926	0.851	0.887				63	5	11
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.86	0.901	0.88				344	56	38
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.868	0.892	0.88				66	10	8
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.861	0.847	0.854				149	24	27
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.811	0.896	0.851				43	10	5
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.819	0.817	0.818				312	69	70
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.667	1.0	0.8				2	1	0
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.727	0.833	0.777				40	15	8
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.737	0.757	0.747				56	20	18
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.5	0.667				1	0	1
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.667	0.5	0.571				2	1	2
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.25	0.286				1	2	3
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0				0	2	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_de_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
