System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.846	0.938	0.89				121	22	8
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.844	0.922	0.881				119	22	10
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.842	0.907	0.873				117	22	12
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.791	0.872	0.829				68	18	10
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.75	0.857	0.8				12	4	2
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.744	0.859	0.798				67	23	11
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.667	0.857	0.75				12	6	2
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.703	0.756	0.728				272	115	88
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.685	0.736	0.71				265	122	95
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.639	0.795	0.709				62	35	16
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.679	0.705	0.692				55	26	23
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.643	0.75	0.692				9	5	3
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.627	0.667	0.646				52	31	26
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.615	0.667	0.64				8	5	4
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.616	0.664	0.639				239	149	121
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.575	0.641	0.606				50	37	28
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.538	0.583	0.56				7	6	5
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.571	0.444	0.5				4	3	5
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.5	0.444	0.471				4	4	5
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.3	0.214	0.25				3	7	11
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.086	0.086	0.086				3	32	32
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.086	0.086	0.086				3	32	32
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	6	9
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	34	35
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0				0	0	1
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0				0	1	1
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0				0	0	1
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0				0	1	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0				0	0	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0				0	1	1
neurbsl_bundle3_ajmc_fr_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_fr_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_fr_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
