System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.801	0.899	0.847	313	78	35
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.807	0.891	0.847	310	74	38
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.676	0.839	0.749	292	140	56
neurbsl_bundle3_ajmc_en_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0	0	0	0
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	3	3
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	6	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	7	3
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8	2	0	1
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	1	3
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.729	0.915	0.811	43	16	4
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.765	0.83	0.796	39	12	8
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.437	0.66	0.525	31	40	16
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.75	0.75	0.75	3	1	1
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0	0	4	4
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0	0	3	4
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.975	0.951	0.963	39	1	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.907	0.951	0.929	39	4	2
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.74	0.902	0.813	37	13	4
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.5	0.5	0.5	2	2	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.25	0.25	0.25	1	3	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.0	0.0	0	0	3	4
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.889	0.901	0.895	136	17	15
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.873	0.914	0.893	138	20	13
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.824	0.927	0.872	140	30	11
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0	0	1	2
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.771	0.976	0.862	81	24	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.721	0.964	0.825	80	31	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.658	0.928	0.77	77	40	6
team2_bundle1_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.9	0.9	0.9	9	1	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.818	0.9	0.857	9	2	1
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.583	0.7	0.636	7	5	3
